,filename,wavfile,modality,modality_number,modality_code,subject,session,start,end,duration,emotion,valence_raw,activation_raw,dominance_raw,emotion_pair,valence,arousal,annotations_selfreport,annotations,annotations_proportion,sad_times,sad_dur,words_data,syl_avg_dur,syl_avg_rate,syl_times,annotations_entropy,annotations_entropy_self_report,annotations_full_agreement,sentences
Ses01F_impro01_F000,/Users/agnieszkalenart/Documents/mannheim/master_thesis/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F000.wav,Ses01F_impro01_F000.wav,impro,1,impro01,Ses01F,1,0,1.9455625,1.9455625,neutral,2.5,2.5,2.5,"-,-",",",-,['neutral'],"[['neutral'], ['neutral'], ['neutral']]","{'neutral': 1.0, 'anger': 0.0, 'fear': 0.0, 'excited': 0.0, 'sadness': 0.0, 'frustration': 0.0, 'surprise': 0.0, 'other': 0.0, 'happiness': 0.0, 'disgusted': 0.0}","[(0.45, 0.79), (0.8, 1.05)]",59,"[[0.45, 0.79, 'EXCUSE'], [0.8, 1.05, 'ME']]",0.19333333333333333,5.172413793103448,"[(0.45, 0.5), (0.51, 0.79), (0.8, 1.05)]",0.0,0.0,True,EXCUSE ME
Ses01F_impro01_F001,/Users/agnieszkalenart/Documents/mannheim/master_thesis/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F001.wav,Ses01F_impro01_F001.wav,impro,1,impro01,Ses01F,1,0,1.3824375,1.3824375,neutral,2.5,2.5,2.5,"-,-",",",-,"['neutral', 'anger']","[['neutral'], ['neutral'], ['neutral']]","{'neutral': 1.0, 'anger': 0.0, 'fear': 0.0, 'excited': 0.0, 'sadness': 0.0, 'frustration': 0.0, 'surprise': 0.0, 'other': 0.0, 'happiness': 0.0, 'disgusted': 0.0}","[(0.53, 0.9)]",37,"[[0.53, 0.9, 'YEAH']]",0.37,2.7027027027027026,"[(0.53, 0.9)]",0.0,0.0,True,YEAH
Ses01F_impro01_F002,/Users/agnieszkalenart/Documents/mannheim/master_thesis/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F002.wav,Ses01F_impro01_F002.wav,impro,1,impro01,Ses01F,1,0,3.13025,3.13025,neutral,2.5,2.5,2.5,"-,-",",",-,"['neutral', 'anger']","[['neutral'], ['surprise'], ['neutral']]","{'neutral': 0.6666666666666666, 'anger': 0.0, 'fear': 0.0, 'excited': 0.0, 'sadness': 0.0, 'frustration': 0.0, 'surprise': 0.3333333333333333, 'other': 0.0, 'happiness': 0.0, 'disgusted': 0.0}","[(2.1, 2.15), (2.16, 2.28), (2.29, 2.32), (2.33, 2.82)]",69,"[[2.1, 2.15, 'IS'], [2.16, 2.28, 'THERE'], [2.29, 2.32, 'A'], [2.33, 2.82, 'PROBLEM']]",0.136,7.352941176470588,"[(2.1, 2.15), (2.16, 2.28), (2.29, 2.32), (2.33, 2.53), (2.54, 2.82)]",0.6365141682948128,0.6365141682948128,False,IS THERE A PROBLEM
Ses01F_impro01_F003,/Users/agnieszkalenart/Documents/mannheim/master_thesis/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F003.wav,Ses01F_impro01_F003.wav,impro,1,impro01,Ses01F,1,0,1.4975,1.4975,unassigned,2.5,3.0,3.0,"-,-",",",-,"['frustration', 'anger']","[['neutral'], ['frustration'], ['anger']]","{'neutral': 0.3333333333333333, 'anger': 0.3333333333333333, 'fear': 0.0, 'excited': 0.0, 'sadness': 0.0, 'frustration': 0.3333333333333333, 'surprise': 0.0, 'other': 0.0, 'happiness': 0.0, 'disgusted': 0.0}","[(0.44, 0.59), (0.6, 0.88)]",43,"[[0.44, 0.59, 'YOU'], [0.6, 0.88, 'DID']]",0.215,4.651162790697675,"[(0.44, 0.59), (0.6, 0.88)]",1.0986122886681096,1.0986122886681096,False,YOU DID
Ses01F_impro01_F004,/Users/agnieszkalenart/Documents/mannheim/master_thesis/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F004.wav,Ses01F_impro01_F004.wav,impro,1,impro01,Ses01F,1,0,3.41425,3.41425,unassigned,2.5,3.0,2.5,"-,-",",",-,"['frustration', 'anger']","[['neutral'], ['frustration', 'disgust'], ['anger']]","{'neutral': 0.3333333333333333, 'anger': 0.3333333333333333, 'fear': 0.0, 'excited': 0.0, 'sadness': 0.0, 'frustration': 0.3333333333333333, 'surprise': 0.0, 'other': 0.0, 'happiness': 0.0, 'disgusted': 0.0}","[(1.18, 1.27), (1.28, 1.35), (1.36, 1.71), (1.72, 1.77), (1.78, 1.84), (1.85, 2.16), (2.62, 2.74), (2.75, 2.92), (2.93, 3.31), (3.32, 3.36)]",164,"[[1.18, 1.27, 'YOU'], [1.28, 1.35, 'WERE'], [1.36, 1.71, 'STANDING'], [1.72, 1.77, 'AT'], [1.78, 1.84, 'THE'], [1.85, 2.16, 'BEGINNING'], [2.62, 2.74, 'AND'], [2.75, 2.92, 'YOU'], [2.93, 3.31, 'DIRECTED'], [3.32, 3.36, 'ME']]",0.11071428571428571,9.03225806451613,"[(1.18, 1.27), (1.28, 1.35), (1.36, 1.6), (1.61, 1.71), (1.72, 1.77), (1.78, 1.84), (1.85, 1.93), (1.94, 2.03), (2.04, 2.16), (2.62, 2.74), (2.75, 2.92), (2.93, 2.99), (3.0, 3.19), (3.2, 3.31)]",1.0986122886681096,1.0986122886681096,False,YOU WERE STANDING AT THE BEGINNING AND YOU DIRECTED ME
Ses01F_impro01_F005,/Users/agnieszkalenart/Documents/mannheim/master_thesis/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F005.wav,Ses01F_impro01_F005.wav,impro,1,impro01,Ses01F,1,0,4.0299375,4.0299375,neutral,2.5,3.5,2.0,"+,-",",",+,['neutral'],"[['neutral'], ['frustration', 'anger'], ['neutral']]","{'neutral': 0.5, 'anger': 0.25, 'fear': 0.0, 'excited': 0.0, 'sadness': 0.0, 'frustration': 0.25, 'surprise': 0.0, 'other': 0.0, 'happiness': 0.0, 'disgusted': 0.0}","[(0.58, 0.83), (0.84, 1.19), (1.55, 1.7), (1.91, 2.41), (2.42, 2.55), (2.56, 2.67), (2.71, 2.99), (3.0, 3.31)]",208,"[[0.58, 0.83, 'WELL'], [0.84, 1.19, ""WHAT'S""], [1.55, 1.7, 'THE'], [1.91, 2.41, 'PROBLEM'], [2.42, 2.55, 'LET'], [2.56, 2.67, 'ME'], [2.71, 2.99, 'CHANGE'], [3.0, 3.31, 'IT']]",0.23,4.3478260869565215,"[(0.58, 0.83), (0.84, 1.19), (1.55, 1.7), (1.91, 2.11), (2.12, 2.41), (2.42, 2.55), (2.56, 2.67), (2.71, 2.99), (3.0, 3.31)]",0.6365141682948128,0.6365141682948128,False,WELL WHAT'S THE PROBLEM LET ME CHANGE IT
Ses01F_impro01_F006,/Users/agnieszkalenart/Documents/mannheim/master_thesis/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F006.wav,Ses01F_impro01_F006.wav,impro,1,impro01,Ses01F,1,0,4.625,4.625,frustration,2.0,3.5,3.5,"+,-",",",+,"['frustration', 'other']","[['neutral'], ['frustration', 'anger'], ['frustration']]","{'neutral': 0.25, 'anger': 0.25, 'fear': 0.0, 'excited': 0.0, 'sadness': 0.0, 'frustration': 0.5, 'surprise': 0.0, 'other': 0.0, 'happiness': 0.0, 'disgusted': 0.0}","[(0.38, 0.69), (0.73, 1.0), (1.01, 1.3), (1.31, 1.39), (1.4, 1.73), (1.77, 1.93), (1.94, 2.0), (2.01, 2.25), (2.26, 2.34), (2.35, 2.72), (3.06, 3.2), (3.21, 3.52), (3.53, 3.68), (3.69, 4.03)]",313,"[[0.38, 0.69, 'WHAT'], [0.73, 1.0, ""I'M""], [1.01, 1.3, 'GETTING'], [1.31, 1.39, 'AN'], [1.4, 1.73, 'ID'], [1.77, 1.93, 'THIS'], [1.94, 2.0, 'IS'], [2.01, 2.25, 'WHY'], [2.26, 2.34, ""I'M""], [2.35, 2.72, 'HERE'], [3.06, 3.2, 'MY'], [3.21, 3.52, 'WALLET'], [3.53, 3.68, 'WAS'], [3.69, 4.03, 'STOLEN']]",0.1716666666666667,5.825242718446601,"[(0.38, 0.69), (0.73, 1.0), (1.01, 1.13), (1.14, 1.3), (1.31, 1.39), (1.4, 1.49), (1.5, 1.73), (1.77, 1.93), (1.94, 2.0), (2.01, 2.25), (2.26, 2.34), (2.35, 2.72), (3.06, 3.2), (3.21, 3.33), (3.34, 3.52), (3.53, 3.68), (3.69, 3.83), (3.84, 4.03)]",1.0986122886681096,1.0986122886681096,False,WHAT I'M GETTING AN ID THIS IS WHY I'M HERE MY WALLET WAS STOLEN
Ses01F_impro01_F007,/Users/agnieszkalenart/Documents/mannheim/master_thesis/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F007.wav,Ses01F_impro01_F007.wav,impro,1,impro01,Ses01F,1,0,5.61,5.61,frustration,2.5,3.5,3.5,"+,-",",",+,"['frustration', 'anger']","[['frustration'], ['frustration', 'disgust', 'anger'], ['frustration']]","{'neutral': 0.0, 'anger': 0.25, 'fear': 0.0, 'excited': 0.0, 'sadness': 0.0, 'frustration': 0.75, 'surprise': 0.0, 'other': 0.0, 'happiness': 0.0, 'disgusted': 0.0}","[(0.31, 0.51), (0.52, 0.6), (0.61, 0.7), (0.71, 1.0), (1.01, 1.07), (1.08, 1.21), (1.22, 1.31), (1.32, 1.6), (1.61, 1.9), (1.91, 1.98), (1.99, 2.35), (3.18, 3.27), (3.28, 3.39), (3.4, 3.44), (3.48, 3.73), (3.74, 3.88), (3.89, 3.98), (3.99, 4.24), (4.25, 4.32), (4.33, 4.41), (4.42, 4.62), (4.63, 4.91)]",354,"[[0.31, 0.51, 'HOW'], [0.52, 0.6, 'AM'], [0.61, 0.7, 'I'], [0.71, 1.0, 'SUPPOSED'], [1.01, 1.07, 'TO'], [1.08, 1.21, 'GET'], [1.22, 1.31, 'AN'], [1.32, 1.6, 'ID'], [1.61, 1.9, 'WITHOUT'], [1.91, 1.98, 'AN'], [1.99, 2.35, 'ID'], [3.18, 3.27, 'HOW'], [3.28, 3.39, 'DOES'], [3.4, 3.44, 'A'], [3.48, 3.73, 'PERSON'], [3.74, 3.88, 'GET'], [3.89, 3.98, 'AN'], [3.99, 4.24, 'ID'], [4.25, 4.32, 'IN'], [4.33, 4.41, 'THE'], [4.42, 4.62, 'FIRST'], [4.63, 4.91, 'PLACE']]",0.12428571428571429,8.045977011494253,"[(0.31, 0.51), (0.52, 0.6), (0.61, 0.7), (0.71, 0.81), (0.82, 1.0), (1.01, 1.07), (1.08, 1.21), (1.22, 1.31), (1.32, 1.41), (1.42, 1.6), (1.61, 1.67), (1.68, 1.9), (1.91, 1.98), (1.99, 2.08), (2.09, 2.35), (3.18, 3.27), (3.28, 3.39), (3.4, 3.44), (3.48, 3.59), (3.6, 3.73), (3.74, 3.88), (3.89, 3.98), (3.99, 4.08), (4.09, 4.24), (4.25, 4.32), (4.33, 4.41), (4.42, 4.62), (4.63, 4.91)]",0.6365141682948128,0.6365141682948128,False,HOW AM I SUPPOSED TO GET AN ID WITHOUT AN ID HOW DOES A PERSON GET AN ID IN THE FIRST PLACE
Ses01F_impro01_F008,/Users/agnieszkalenart/Documents/mannheim/master_thesis/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F008.wav,Ses01F_impro01_F008.wav,impro,1,impro01,Ses01F,1,0,2.6625,2.6625,frustration,2.0,3.5,3.5,"+,-",",",+,"['frustration', 'anger']","[['frustration'], ['anger'], ['frustration']]","{'neutral': 0.0, 'anger': 0.3333333333333333, 'fear': 0.0, 'excited': 0.0, 'sadness': 0.0, 'frustration': 0.6666666666666666, 'surprise': 0.0, 'other': 0.0, 'happiness': 0.0, 'disgusted': 0.0}","[(0.55, 0.74), (0.75, 0.95), (0.96, 1.1), (1.11, 1.39), (1.4, 1.55), (1.56, 2.14)]",154,"[[0.55, 0.74, ""I'M""], [0.75, 0.95, 'HERE'], [0.96, 1.1, 'TO'], [1.11, 1.39, 'GET'], [1.4, 1.55, 'AN'], [1.56, 2.14, 'ID']]",0.21857142857142858,4.57516339869281,"[(0.55, 0.74), (0.75, 0.95), (0.96, 1.1), (1.11, 1.39), (1.4, 1.55), (1.56, 1.64), (1.65, 2.14)]",0.6365141682948128,0.6365141682948128,False,I'M HERE TO GET AN ID
Ses01F_impro01_F009,/Users/agnieszkalenart/Documents/mannheim/master_thesis/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F009.wav,Ses01F_impro01_F009.wav,impro,1,impro01,Ses01F,1,0,4.1,4.1,frustration,2.0,3.5,3.0,"+,-",",",+,"['frustration', 'anger']","[['frustration'], ['frustration', 'disgust', 'anger'], ['frustration']]","{'neutral': 0.0, 'anger': 0.25, 'fear': 0.0, 'excited': 0.0, 'sadness': 0.0, 'frustration': 0.75, 'surprise': 0.0, 'other': 0.0, 'happiness': 0.0, 'disgusted': 0.0}","[(0.72, 0.94), (0.95, 1.37), (2.6, 2.76), (2.77, 2.82), (2.89, 3.11), (3.12, 3.75)]",170,"[[0.72, 0.94, 'LIKE'], [0.95, 1.37, 'WHAT'], [2.6, 2.76, 'LIKE'], [2.77, 2.82, 'A'], [2.89, 3.11, 'BIRTH'], [3.12, 3.75, 'CERTIFICATE']]",0.18555555555555558,5.389221556886227,"[(0.72, 0.94), (0.95, 1.37), (2.6, 2.76), (2.77, 2.82), (2.89, 3.11), (3.12, 3.19), (3.2, 3.36), (3.37, 3.46), (3.47, 3.75)]",0.6365141682948128,0.6365141682948128,False,LIKE WHAT LIKE A BIRTH CERTIFICATE
